"Reading (1837-1974)",2c,721,803,1,1,8,575,345
"Romsey (1837-1932)",2c,193,215,0,0,7,104,366
"Newbury",2c,523,550,0,0,5,158,442
"Catherington",2c,317,328,0,0,5,32,517
"Droxford",2c,297,315,0,3,3,89,606
"Maidenhead",2c,845,873,0,0,7,142,644
"Kingsclere (1837-1932)",2c,507,521,0,0,6,47,764
"Easthampstead (1837-1937)",2c,875,893,1,0,6,90,802
"Basingstoke",2c,441,470,1,0,10,127,848
"Bradfield",2c,691,719,0,0,10,101,908
"Petersfield",2c,329,350,0,0,6,86,966
"Wallingford",2c,665,689,0,0,7,112,1005
"Wantage",2c,645,663,0,2,7,61,1011
"Whitchurch H",2c,471,479,2,1,4,26,1066
"Winchester",2c,235,295,12,0,20,257,1081
"Windsor",2c,895,939,2,2,6,267,1082
"Wokingham",2c,805,843,1,0,15,154,1090
"Hatfield",3a,1037,1051,0,0,4,72,32
"Headington",3a,1605,1656,1,1,10,288,40
"Hendon (1837-1947)",3a,289,434,1,14,10,993,45
"Henley",3a,1549,1581,0,0,10,160,47
"Hertford",3a,1009,1036,0,2,10,98,50
"Hitchin",3a,967,1007,1,0,13,171,60
"Oxford",3a,1657,1698,1,0,11,193,102
"Amersham",3a,1215,1249,0,1,11,155,121
"Aylesbury",3a,1389,1436,1,2,19,173,145
"Thame",3a,1583,1603,0,1,8,64,197
"Staines",3a,1,46,0,0,6,287,299
"Royston",3a,927,965,0,0,14,151,375
"St Albans",3a,1053,1097,0,0,10,232,383
"Newport Pagnell",3a,1461,1520,0,0,20,258,456
"Chipping Norton",3a,1793,1816,3,0,10,92,541
"Uxbridge",3a,47,92,0,0,10,266,788
"Edmonton",3a,491,861,1,1,24,2722,814
"Eton",3a,1251,1301,0,0,11,263,825
"Banbury",3a,1817,1860,2,1,13,196,832
"Barnet",3a,435,489,1,0,10,308,837
"Berkhampstead (1837-1939)",3a,1181,1214,2,0,7,178,862
"Bicester",3a,1697,1725,0,1,13,74,870
"Bishops Stortford",3a,889,926,1,0,12,188,883
"Brentford",3a,93,287,0,1,22,1300,918
"Buckingham",3a,1521,1548,6,0,11,101,935
"Ware",3a,863,887,8,1,7,123,1012
"Watford",3a,1099,1152,1,1,10,326,1021
"Winslow",3a,1437,1459,1,0,8,76,1084
"Witney",3a,1755,1791,0,0,13,132,1088
"Woodstock",3a,1727,1754,0,0,11,108,1095
"Wycombe",3a,1303,1387,0,10,19,447,1107
"Hardingstone",3b,79,98,0,0,4,96,20
"Huntingdon",3b,599,635,1,1,13,151,84
"Oundle",3b,473,501,0,0,11,98,99
"Ampthill",3b,835,885,0,0,16,207,124
"Thrapston",3b,435,471,0,2,12,142,204
"Towcester",3b,25,51,0,0,9,107,214
"St Ives",3b,637,665,0,0,10,124,394
"St Neots",3b,667,698,0,0,11,124,400
"Newmarket (to 1938)",3b,1129,1173,0,1,13,194,452
"North Witchford",3b,1205,1229,0,1,7,122,474
"Northampton (1837-1923)",3b,99,223,0,1,20,775,476
"Cambridge (1837-1935)",3b,1065,1102,0,0,3,248,499
"Caxton",3b,989,1005,0,0,7,48,518
"Chesterton",3b,1007,1063,0,1,18,240,537
"Daventry",3b,225,253,0,0,5,133,585
"Leighton Buzzard",3b,887,915,4,0,7,148,717
"Linton",3b,1103,1127,2,1,8,92,726
"Luton",3b,917,987,1,0,12,428,749
"Kettering",3b,367,433,1,3,13,377,759
