"Newbury",2c,243,258,0,2,2,255,442
"Droxford",2c,145,154,0,0,1,143,606
"Maidenhead",2c,397,412,1,7,1,273,644
"Kingsclere (1837-1932)",2c,235,242,0,0,1,120,764
"Easthampstead (1837-1937)",2c,413,420,0,0,0,158,802
"Basingstoke",2c,201,215,0,0,2,230,848
"Bradfield",2c,323,334,1,0,0,225,908
"Petersfield",2c,157,164,0,0,0,133,966
"Wallingford",2c,313,321,0,0,1,155,1005
"Wantage",2c,299,311,0,1,0,246,1011
"Whitchurch H",2c,217,220,0,1,0,72,1066
"Winchester",2c,119,143,1,0,3,408,1081
"Windsor",2c,421,444,0,0,0,472,1082
"Wokingham",2c,385,396,0,0,1,202,1090
"Hatfield",3a,669,676,0,0,1,117,32
"Headington",3a,923,945,0,0,0,444,40
"Hemel Hempstead",3a,735,749,0,0,1,247,43
"Hendon (1837-1947)",3a,175,301,0,3,1,2547,45
"Henley",3a,895,912,0,0,1,323,47
"Hertford",3a,659,668,1,0,0,183,50
"Hitchin",3a,639,658,1,0,0,360,60
"Oxford",3a,947,961,1,0,0,285,102
"Amersham",3a,763,778,1,0,2,234,121
"Aylesbury",3a,845,859,1,0,0,268,145
"Thame",3a,913,921,0,0,1,142,197
"Staines",3a,1,25,0,0,1,451,299
"Royston",3a,625,637,0,0,1,217,375
"St Albans",3a,677,695,4,0,0,354,383
"Newport Pagnell",3a,867,886,1,0,1,350,456
"Chipping Norton",3a,993,1001,0,0,0,155,541
"Uxbridge",3a,27,53,0,1,0,514,788
"Edmonton",3a,343,591,4,0,0,4955,814
"Eton",3a,779,804,0,0,2,455,825
"Banbury",3a,1003,1023,0,0,1,377,832
"Barnet",3a,303,341,3,1,1,721,837
"Berkhampstead (1837-1939)",3a,751,761,2,1,0,213,862
"Bicester",3a,963,970,2,0,0,145,870
"Bishops Stortford",3a,609,624,0,0,1,242,883
"Brentford",3a,55,173,0,0,2,2373,918
"Buckingham",3a,887,894,12,0,0,144,935
