"Kingsclere (1837-1932)",2c,159,162,0,0,1,17,764
"Easthampstead (1837-1937)",2c,275,282,0,1,1,57,802
"Basingstoke",2c,135,144,1,0,1,76,848
"Bradfield",2c,221,228,0,0,1,59,908
"Petersfield",2c,103,110,0,0,1,58,966
"Wallingford",2c,209,219,0,0,1,87,1005
"Wantage",2c,201,207,0,0,0,58,1011
"Whitchurch H",2c,145,147,0,2,0,19,1066
"Winchester",2c,75,92,0,0,1,141,1081
"Windsor",2c,283,296,0,0,1,127,1082
"Wokingham",2c,255,263,0,0,1,73,1090
"Hatfield",3a,343,346,0,0,0,33,32
"Headington",3a,495,514,2,3,0,183,40
"Hemel Hempstead",3a,385,392,0,1,1,52,43
"Hendon (1837-1947)",3a,99,149,0,0,2,481,45
"Henley",3a,479,488,0,1,1,69,47
"Hertford",3a,335,341,0,0,0,59,50
"Hitchin",3a,325,334,0,1,0,93,60
"Oxford",3a,515,522,1,0,0,75,102
"Amersham",3a,399,410,1,0,3,68,121
"Aylesbury",3a,445,456,1,0,0,111,145
"Thame",3a,489,494,0,0,0,51,197
"Staines",3a,1,12,0,0,0,113,299
"Royston",3a,313,323,0,0,2,76,375
"St Albans",3a,347,357,0,0,0,105,383
"Newport Pagnell",3a,461,472,1,0,1,99,456
"Chipping Norton",3a,543,549,1,0,1,60,541
"Uxbridge",3a,13,32,0,0,1,182,788
"Edmonton",3a,175,290,2,2,2,1125,814
"Eton",3a,411,424,0,0,2,107,825
"Banbury",3a,551,565,0,0,1,131,832
"Barnet",3a,151,174,0,0,0,223,837
"Berkhampstead (1837-1939)",3a,393,398,2,0,0,53,862
"Bicester",3a,523,526,0,0,0,37,870
"Bishops Stortford",3a,303,311,0,1,0,76,883
"Brentford",3a,33,98,0,1,2,623,918
"Buckingham",3a,473,478,2,0,1,38,935
"Ware",3a,291,301,0,0,3,72,1012
"Watford",3a,359,383,0,0,2,219,1021
"Winslow",3a,457,459,0,1,0,29,1084
"Witney",3a,533,542,0,0,2,69,1088
"Woodstock",3a,527,531,0,0,0,46,1095
