Wales,alycymru,AGY,CAE,MER,BRE,CGN,CMN,DEN,FLN,GLA,MGY,MON,PEM,RAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,REGScotland,ABD,ARL,AYR,BAN,BEW,BUT,CAI,ELN,ANS,INV,OKI,PEE,CLK,DNB,DFS,FIF,KCD,KRS,KKD,LKS,MLN,MOR,NAI,PER,RFW,ROC,ROX,SEL,SHI,STI,WIG,WLN,SUT,,,,,,,,,,,,,,,,,
England,REGEngland,ALD,BDF,BKM,BRK,CAM,CHI,CHS,CON,CUL,DBY,DEV,DOR,DUR,ERY,ESS,GLS,GSY,HAM,HEF,HRT,HUN,IOM,IOW,JSY,KEN,LAN,LEI,LIN,LND,MDX,NBL,NFK,NRY,NTH,NTT,OXF,RUT,SAL,SFK,SOM,SRK,SRY,SSX,STS,WAR,WES,WIL,WOR,WRY,YKS
Ireland,REGManager,ANT,ARM,CAR,CAV,CLA,COR,DON,DOW,DUB,FER,GAL,KER,KID,KIK,LDY,LET,LEX,LIM,LOG,LOU,MAY,MEA,MOG,OFF,ROS,SLI,TIP,TYR,WAT,WEM,WEX,WIC,,,,,,,,,,,,,,,,,,
